:START_ID,:END_ID,relation,:TYPE
12341,20021,类型属于,类型属于
11512,20031,类型属于,类型属于
12165,20040,类型属于,类型属于
10555,20013,类型属于,类型属于
10759,20003,类型属于,类型属于
10652,20037,类型属于,类型属于
11235,20010,类型属于,类型属于
11401,20031,类型属于,类型属于
12486,20028,类型属于,类型属于
11028,20020,类型属于,类型属于
10519,20018,类型属于,类型属于
10579,20023,类型属于,类型属于
11979,20037,类型属于,类型属于
11786,20008,类型属于,类型属于
10461,20001,类型属于,类型属于
10223,20016,类型属于,类型属于
10541,20016,类型属于,类型属于
10634,20013,类型属于,类型属于
12197,20017,类型属于,类型属于
12117,20016,类型属于,类型属于
10519,20027,类型属于,类型属于
10424,20025,类型属于,类型属于
10339,20013,类型属于,类型属于
11608,20001,类型属于,类型属于
10884,20008,类型属于,类型属于
10495,20020,类型属于,类型属于
10561,20025,类型属于,类型属于
11305,20020,类型属于,类型属于
10110,20014,类型属于,类型属于
11484,20026,类型属于,类型属于
12644,20026,类型属于,类型属于
12640,20026,类型属于,类型属于
10938,20014,类型属于,类型属于
11109,20012,类型属于,类型属于
10274,20016,类型属于,类型属于
11147,20026,类型属于,类型属于
11323,20013,类型属于,类型属于
12491,20019,类型属于,类型属于
10422,20019,类型属于,类型属于
11867,20026,类型属于,类型属于
11460,20017,类型属于,类型属于
10921,20019,类型属于,类型属于
10086,20031,类型属于,类型属于
10288,20013,类型属于,类型属于
10689,20020,类型属于,类型属于
13029,20019,类型属于,类型属于
10709,20001,类型属于,类型属于
10108,20030,类型属于,类型属于
10573,20019,类型属于,类型属于
11312,20015,类型属于,类型属于
11755,20017,类型属于,类型属于
10028,20014,类型属于,类型属于
11956,20021,类型属于,类型属于
11859,20003,类型属于,类型属于
12868,20040,类型属于,类型属于
12332,20031,类型属于,类型属于
10341,20001,类型属于,类型属于
10885,20006,类型属于,类型属于
11511,20028,类型属于,类型属于
10339,20007,类型属于,类型属于
11670,20004,类型属于,类型属于
11883,20036,类型属于,类型属于
10650,20006,类型属于,类型属于
11788,20001,类型属于,类型属于
10146,20001,类型属于,类型属于
11608,20013,类型属于,类型属于
10565,20022,类型属于,类型属于
13041,20026,类型属于,类型属于
12654,20006,类型属于,类型属于
11343,20030,类型属于,类型属于
10484,20027,类型属于,类型属于
11932,20012,类型属于,类型属于
10095,20029,类型属于,类型属于
11993,20007,类型属于,类型属于
11917,20006,类型属于,类型属于
10221,20039,类型属于,类型属于
10198,20017,类型属于,类型属于
12275,20026,类型属于,类型属于
12656,20006,类型属于,类型属于
12683,20006,类型属于,类型属于
11432,20006,类型属于,类型属于
10106,20026,类型属于,类型属于
10670,20003,类型属于,类型属于
11933,20040,类型属于,类型属于
11070,20028,类型属于,类型属于
10284,20007,类型属于,类型属于
10351,20034,类型属于,类型属于
10316,20007,类型属于,类型属于
10297,20019,类型属于,类型属于
11487,20012,类型属于,类型属于
10753,20025,类型属于,类型属于
11415,20028,类型属于,类型属于
10170,20016,类型属于,类型属于
10942,20019,类型属于,类型属于
10344,20027,类型属于,类型属于
13061,20007,类型属于,类型属于
10900,20026,类型属于,类型属于
10563,20014,类型属于,类型属于
11652,20010,类型属于,类型属于
11058,20005,类型属于,类型属于
10083,20009,类型属于,类型属于
10794,20017,类型属于,类型属于
10899,20001,类型属于,类型属于
12255,20019,类型属于,类型属于
10555,20006,类型属于,类型属于
12527,20017,类型属于,类型属于
10943,20029,类型属于,类型属于
10468,20001,类型属于,类型属于
12408,20006,类型属于,类型属于
10588,20020,类型属于,类型属于
13004,20028,类型属于,类型属于
12523,20031,类型属于,类型属于
10479,20011,类型属于,类型属于
11708,20020,类型属于,类型属于
10908,20013,类型属于,类型属于
12260,20007,类型属于,类型属于
11947,20019,类型属于,类型属于
11344,20010,类型属于,类型属于
12366,20026,类型属于,类型属于
12936,20017,类型属于,类型属于
11680,20017,类型属于,类型属于
11815,20028,类型属于,类型属于
12106,20024,类型属于,类型属于
10141,20001,类型属于,类型属于
10781,20001,类型属于,类型属于
11911,20006,类型属于,类型属于
10937,20002,类型属于,类型属于
11145,20006,类型属于,类型属于
12317,20017,类型属于,类型属于
10447,20010,类型属于,类型属于
11085,20023,类型属于,类型属于
13007,20019,类型属于,类型属于
10586,20036,类型属于,类型属于
12133,20001,类型属于,类型属于
11945,20002,类型属于,类型属于
10729,20003,类型属于,类型属于
12997,20026,类型属于,类型属于
10155,20016,类型属于,类型属于
11941,20035,类型属于,类型属于
12490,20026,类型属于,类型属于
10183,20003,类型属于,类型属于
11240,20006,类型属于,类型属于
11148,20010,类型属于,类型属于
10034,20013,类型属于,类型属于
11776,20019,类型属于,类型属于
11818,20001,类型属于,类型属于
10507,20011,类型属于,类型属于
12996,20026,类型属于,类型属于
10987,20021,类型属于,类型属于
10436,20013,类型属于,类型属于
10198,20038,类型属于,类型属于
10696,20022,类型属于,类型属于
11207,20037,类型属于,类型属于
11000,20017,类型属于,类型属于
11703,20017,类型属于,类型属于
10652,20019,类型属于,类型属于
10865,20005,类型属于,类型属于
