index:ID,media_id,name,num_of_play,num_of_subscribe,num_of_danmu,starting_time,score,num_of_scoring_peopel,status,:LABEL
10157,1660,夏目友人帐,1825.1万,155.9万,116.6万,2008年7月7日,9.7,2823人评,已完结,Anime
10158,5998,Re:CREATORS,5809万,256.2万,216.2万,2017年4月9日,8.2,12190人评,已完结,Anime
10159,1299,彩云国物语,98.1万,11万,5.1万,2006年4月8日,9.5,272人评,已完结,Anime
10160,1180,CLANNAD ～AFTER STORY～另一个世界 杏篇,7.2万,12.6万,1943,2009年5月24日,9.5,619人评,已完结,Anime
10161,3456,忍者杀手 SE,550.9万,19.8万,17.6万,2016年4月3日,9.7,1250人评,已完结,Anime
10162,6421,阿松 第二季,791.7万,42.8万,32.9万,2017年10月3日,9.5,6215人评,已完结,Anime
10163,102752,异界少女召唤术,2322万,137.4万,41.6万,2018年7月5日,7,10169人评,已完结,Anime
10164,419,斩服少女,2150.8万,50.6万,64.5万,2013年10月3日,9.8,7448人评,已完结,Anime
10165,426,某科学的超电磁炮 OVA,213.7万,29.2万,15.4万,2010年10月29日,9.3,716人评,已完结,Anime
10166,187,棺姬嘉依卡,468.4万,17.1万,17.9万,2014年4月9日,8.8,107人评,已完结,Anime
10167,102552,千绪的上学路,1213.4万,79.8万,26.4万,2018年7月6日,9.6,8409人评,已完结,Anime
10168,1220,伯爵与妖精,151.4万,20.4万,6.3万,2008年10月7日,9,186人评,已完结,Anime
10169,3551,黑色残骸,718.8万,19.2万,17.5万,2016年4月7日,8.5,255人评,已完结,Anime
10170,102412,轻羽飞扬！,1139.7万,68.7万,28.9万,2018年7月2日,4.2,51682人评,已完结,Anime
10171,5038,月歌,676.4万,36.6万,49.1万,2016年7月6日,9.6,762人评,已完结,Anime
10172,2747,终物语,1028.2万,60.2万,24.7万,2015年10月3日,9.6,1358人评,已完结,Anime
10173,3433,异国迷宫的十字路口,84万,16.2万,4.5万,2011年7月3日,9.6,378人评,已完结,Anime
